[0, 6, -4, 0, 0, 5, 4, 22]
[-3, 5, -3, 3, 1, 5, 5, 26]
[-1, 8, -2, 2, 2, 5, 3, 25]
[-3, 5, -6, 3, 2, 4, 3, 23]
[-2, 4, -6, 3, 5, 6, 1, 27]
[-3, 6, -4, 2, 5, 4, 2, 27]
[-2, 4, -3, 2, 4, 4, 3, 25]
[-1, 6, -6, 1, 3, 6, 2, 27]
[-4, 7, -1, 4, 2, 7, 2, 25]
[-1, 8, -2, 0, 2, 7, 5, 26]
[-6, 3, -5, 1, 5, 4, 2, 24]
[-4, 7, -5, 1, 1, 5, 5, 24]
[0, 6, -4, 3, 3, 3, 3, 26]
[-3, 6, -1, 2, 3, 4, 7, 24]
[-1, 4, -3, 2, 2, 4, 5, 26]
[-3, 4, -4, 0, 7, 4, 3, 24]
[-4, 6, -4, 2, 4, 6, 4, 27]
[-3, 4, -1, 2, 4, 2, 6, 26]
[-1, 7, -3, 3, 2, 5, 5, 27]
[-1, 9, -5, 1, 2, 4, 2, 27]
[-3, 5, -6, 3, 1, 9, 2, 25]
[-3, 5, -4, 2, 4, 3, 1, 27]
[-1, 6, -1, 3, 5, 6, 4, 23]
[-2, 6, -4, 3, 2, 5, 6, 26]
[-2, 7, -3, 2, 2, 2, 4, 24]
[-2, 8, -3, 0, 5, 8, 2, 27]
[-3, 6, -6, 3, 2, 5, 3, 27]
[-4, 7, -1, 3, 5, 7, 2, 24]
[-1, 8, -1, 2, 3, 5, 2, 27]
[-1, 6, -3, 0, 4, 4, 4, 28]
[0, 4, -4, 0, 7, 4, 1, 27]
[-2, 9, -4, 3, 5, 4, 5, 27]
[-4, 9, -3, 2, 4, 4, 7, 26]
[-2, 7, -6, 2, 6, 4, 5, 24]
[-3, 6, -2, 2, 2, 7, 2, 26]
[-3, 4, -7, 1, 3, 6, 2, 25]
[0, 5, -5, 3, 3, 5, 3, 29]
[-1, 6, -2, 0, 2, 3, 4, 24]
[-4, 7, -4, 3, 0, 5, 3, 27]
[-3, 7, -3, 2, 2, 7, 2, 24]
[-4, 5, -2, 0, 5, 6, 5, 27]
[-2, 7, -1, 2, 2, 4, 4, 25]
[-3, 9, -5, 3, 4, 4, 5, 24]
[-4, 7, -3, 2, 2, 6, 1, 23]
[-4, 8, -4, 2, 5, 4, 6, 25]
[-3, 9, -6, 3, 3, 5, 5, 25]
[-4, 2, -6, 5, 4, 3, 5, 23]
[-4, 7, -5, 3, 5, 5, 5, 24]
[-4, 6, -6, 1, 5, 3, 2, 26]
[-4, 9, -5, 3, 2, 5, 2, 25]
[-4, 8, -3, -1, 1, 7, 2, 26]
[-4, 7, -3, 1, 1, 4, 5, 27]
[-4, 6, -4, 0, 3, 2, 2, 25]
[1, 6, -3, 3, 2, 5, 3, 25]
[-3, 7, -6, 3, 3, 5, 3, 25]
[-6, 5, -1, 4, 1, 5, 5, 22]
[-2, 6, -4, 3, 3, 3, 4, 25]
[-3, 9, -4, 3, 0, 4, 4, 24]
[-3, 5, -3, 2, 5, 5, 2, 25]
[-2, 5, -7, -1, 2, 5, 1, 27]
[-3, 5, -1, 0, 2, 2, 3, 23]
[-2, 4, -5, 2, 1, 5, 4, 24]
[-2, 6, -4, 2, 1, 5, 3, 26]
[-3, 6, -3, 5, 4, 6, 5, 24]
[-2, 4, -2, 1, 2, 4, 1, 25]
[-3, 9, -4, 2, 3, 4, 6, 24]
[-6, 5, -4, 0, 3, 5, 4, 27]
[-1, 7, -4, 2, 0, 7, 2, 27]
[-3, 6, -4, 3, 3, 4, 2, 25]
[-7, 5, -4, 2, 2, 5, 4, 26]
[-2, 4, -4, 2, 2, 7, 3, 27]
[-3, 7, -3, 4, 4, 6, 2, 24]
[-3, 4, -4, 1, 3, 5, 1, 27]
[-2, 3, -3, 3, 3, 7, 4, 25]
[-4, 9, -4, 2, 7, 2, 4, 27]
[-1, 8, -4, 4, 3, 5, 7, 24]
[-2, 6, -4, 2, 0, 5, 5, 25]
[-1, 7, -4, 4, 0, 7, 5, 25]
[-3, 7, -4, 5, 2, 5, 5, 24]
[-3, 4, -6, 3, 3, 5, 1, 27]
[-3, 7, -2, 2, 2, 4, 5, 27]
[-1, 7, -4, 2, 3, 9, 6, 24]
[-4, 5, -5, 2, 2, 0, 4, 24]
[-5, 5, -7, 1, 2, 7, 1, 27]
[-2, 4, -3, 1, 2, 4, 3, 26]
[-1, 8, -3, 3, 3, 6, 1, 27]
[-1, 7, -5, 3, 2, 6, 3, 25]
[-4, 7, -3, 0, 3, 5, 3, 23]
